order_id,order_details_id,order_date_id,order_time_id,menu_item_id,quantity
1,1,20230101,113836,109,1
2,1,20230101,115740,106,1
2,2,20230101,115740,108,1
2,3,20230101,115740,117,1
2,4,20230101,115740,124,1
2,5,20230101,115740,129,1
3,1,20230101,121228,117,1
3,2,20230101,121228,119,1
4,1,20230101,121631,117,1
5,1,20230101,122130,117,1
6,1,20230101,122936,101,1
6,2,20230101,122936,114,1
7,1,20230101,125037,123,1
8,1,20230101,125137,123,1
9,1,20230101,125201,108,1
9,2,20230101,125201,110,1
9,3,20230101,125201,117,2
9,4,20230101,125201,122,1
9,5,20230101,125201,126,1
9,6,20230101,125201,129,1
9,7,20230101,125201,130,1
9,8,20230101,125201,132,1
10,1,20230101,130015,105,1
10,2,20230101,130015,129,1
11,1,20230101,130259,101,1
11,2,20230101,130259,102,2
11,3,20230101,130259,113,1
12,1,20230101,130441,102,2
12,2,20230101,130441,104,1
12,3,20230101,130441,117,1
13,1,20230101,131155,129,1
14,1,20230101,131419,114,1
15,1,20230101,133300,107,1
15,2,20230101,133300,114,1
15,3,20230101,133300,121,1
15,4,20230101,133300,124,1
16,1,20230101,133407,106,1
16,2,20230101,133407,111,1
16,3,20230101,133407,125,1
17,1,20230101,135300,101,1
17,2,20230101,135300,116,1
17,3,20230101,135300,117,1
17,4,20230101,135300,118,1
17,5,20230101,135300,124,1
17,6,20230101,135300,125,1
17,7,20230101,135300,127,1
17,8,20230101,135300,128,1
17,9,20230101,135300,129,1
17,10,20230101,135300,131,1
18,1,20230101,135708,111,1
19,1,20230101,135909,110,1
19,2,20230101,135909,120,1
20,1,20230101,140308,107,1
20,2,20230101,140308,124,1
21,1,20230101,141429,110,1
22,1,20230101,141626,105,1
22,2,20230101,141626,110,1
22,3,20230101,141626,124,1
23,1,20230101,141903,105,1
24,1,20230101,142301,101,1
24,2,20230101,142301,110,1
24,3,20230101,142301,113,1
24,4,20230101,142301,119,1
25,1,20230101,144444,106,1
25,2,20230101,144444,120,1
26,1,20230101,145426,108,1
26,2,20230101,145426,132,1
27,1,20230101,151117,101,1
27,2,20230101,151117,108,1
27,3,20230101,151117,131,1
28,1,20230101,153546,103,1
29,1,20230101,154101,126,1
30,1,20230101,154125,106,1
31,1,20230101,155018,113,1
31,2,20230101,155018,129,1
32,1,20230101,155318,107,1
32,2,20230101,155318,110,1
32,3,20230101,155318,117,1
32,4,20230101,155318,126,1
33,1,20230101,155408,101,1
33,2,20230101,155408,126,1
34,1,20230101,162121,114,1
35,1,20230101,163204,106,1
35,2,20230101,163204,112,1
35,3,20230101,163204,113,1
35,4,20230101,163204,126,1
36,1,20230101,165409,101,1
36,2,20230101,165409,108,1
37,1,20230101,165609,117,1
37,2,20230101,165609,129,1
38,1,20230101,170300,109,1
38,2,20230101,170300,110,1
39,1,20230101,170723,117,1
40,1,20230101,171436,105,1
40,2,20230101,171436,125,1
41,1,20230101,171520,125,1
41,2,20230101,171520,126,1
42,1,20230101,172809,107,1
42,2,20230101,172809,118,1
42,3,20230101,172809,124,1
42,4,20230101,172809,129,1
43,1,20230101,173834,103,1
43,2,20230101,173834,117,1
43,3,20230101,173834,118,1
44,1,20230101,175420,130,1
45,1,20230101,175548,106,1
45,2,20230101,175548,109,1
45,3,20230101,175548,125,1
46,1,20230101,182551,104,1
46,2,20230101,182551,106,1
46,3,20230101,182551,108,1
47,1,20230101,182634,105,1
47,2,20230101,182634,132,1
48,1,20230101,182642,104,1
48,2,20230101,182642,119,1
48,3,20230101,182642,122,1
48,4,20230101,182642,126,1
49,1,20230101,183300,120,1
51,1,20230101,184828,101,1
51,2,20230101,184828,112,1
52,1,20230101,185302,109,1
52,2,20230101,185302,122,1
52,3,20230101,185302,129,1
53,1,20230101,185417,112,1
53,2,20230101,185417,123,1
54,1,20230101,190145,106,1
54,2,20230101,190145,119,1
55,1,20230101,190319,118,1
55,2,20230101,190319,122,1
56,1,20230101,190700,105,1
56,2,20230101,190700,108,1
56,3,20230101,190700,128,1
57,1,20230101,191051,108,1
58,1,20230101,193040,113,1
58,2,20230101,193040,124,1
59,1,20230101,194008,112,1
59,2,20230101,194008,113,1
59,3,20230101,194008,127,1
60,1,20230101,200516,104,1
60,2,20230101,200516,125,1
61,1,20230101,200843,101,1
61,2,20230101,200843,117,1
62,1,20230101,205016,101,1
62,2,20230101,205016,123,1
63,1,20230101,205142,112,1
64,1,20230101,205208,107,1
65,1,20230101,211600,112,1
65,2,20230101,211600,120,1
